nombre,poblacion,superficie,continente
Trinidad y Tobago,1367764,5130.0,América
Suecia,10605098,450295.0,Europa
Madagascar,31727042,587041.0,África
Mayotte,320901,374.0,África
Islas Caimán,84738,264.0,América
Malasia,34231700,330803.0,Asia
Benín,13224860,112622.0,África
Groenlandia,56542,2166086.0,América
Suiza,9082848,41284.0,Europa
Georgia,4000921,69700.0,Asia
Ecuador,18103660,276841.0,América
Cabo Verde,491233,4033.0,África
Luxemburgo,681973,2586.0,Europa
Santa Lucía,184100,616.0,América
Islas Vírgenes de los Estados Unidos,87146,347.0,América
Japón,123210000,377930.0,Asia
Jamaica,2825544,10991.0,América
Etiopía,111652998,1104300.0,África
Pakistán,241499431,796095.0,Asia
Montserrat,4386,102.0,América
Lituania,2894886,65300.0,Europa
Grecia,10400720,131990.0,Europa
